__label__社会 , エジプト と スーダン の 国境 に 位置 する 、 1970 年 の アスワンハイダム 建設 によって 誕生 し た 人工 湖 は ○ ○ ○ 湖 ？ ( 3 文字 ) ナセル 
__label__社会 , 次 の 流行 語 ・ 話題 に なっ た 言葉 の うち 、 総理 大臣 経験 者 の 言葉 で は ない もの は どれ ？ 感動 し た ！ 私 は ウソ を 申し ませ ん 日本 は 天皇 を 中心 と し た 神 の 国 自分 で 自分 を ほめ て あげ たい 
__label__社会 , 2012 年 7 月 に 原子力 損害 賠償 支援 機構 を通じて 約 1 兆 円 の 公的 資金 の 投入 を 受け 、 実質 的 に 国有 化 さ れ た 企業 は 関西電力 で ある 
__label__社会 , 日本 の 政令 指定 都市 の 行政 区 で 最も 面積 が 大きい の は 静岡 県 葵 区 です が 最も 面積 が 小さい の は 大坂 市 ○ ○ 区 ？ ○ の 漢字 を ひ ら が なで 答え なさい なに わ 
__label__社会 , 「 国際 平和 と 安全 の 維持 」 を 任務 と する 国連 の 主要 機関 は ？ 安全 保障 理事 会 
__label__社会 , 15 代 大統領 に ちなむ リンカーン を 州都 と する アメリカ の 州 は ？ ( 5 文字 ) ネブラスカ 
__label__社会 , 「 船 を 乗っ取る 犯罪 」 を 意味 する 和製 英語 シージャック 
__label__社会 , 地図 記号 で 、 円 の 中 に 「 文 」 の 字 が 入っ た もの が 表す の は 中学校 で ある 
__label__社会 , 次 の 日本 の 都道府県 を 海 に 面し て いる もの と 面し て い ない もの に グループ 分け し なさい 面し て いる 面し て い ない 岐阜 県 兵庫 県 長野 県 滋賀 県 京都 府 奈良 県 
__label__社会 , メルカトル 図法 において 正確 に 表現 さ れる の は 角度 で ある 
__label__社会 , 海 や 湖 を 堤防 で 囲ん で 陸地 に する こと 干拓 
__label__社会 , 1997 年 まで ザイール 共和 国 という 名前 だっ た アフリカ の 国 は コンゴ 共和 国 で ある 
__label__社会 , 日本 の 鉄道 事業 者 ・ JR の 「 J 」 は 「 ○○○○○」 の 略 ？ ○ を 答え なさい JAPAN 
__label__社会 , 都道府県 の 警察 本部 の マスコットキャラクター で 、 「 ピーポ くん 」 と いえ ば どこ の もの ？ 長野 県警 警視庁 静岡 県警 北海 道警 
__label__社会 , 遠軽 駅 新得 駅 稚内 駅 札幌 駅 JR 貨物 JR 西日本 JR 北海道 JR 東海 
__label__社会 , 首都 を アバルア に 置く 南太平洋 の 島国 は 「 ○ ○ ○ 諸島 」 ？ ○ を 答え なさい クック 
__label__社会 , 100 円 玉 の 側面 に ある ギザギザ の 数 は ちょうど 100 個 で ある 
__label__社会 , [ 画像 問 ] 京都 で 、 この 祭り が 行わ れる の は 毎年 何 月 ？ （ 山車 、 山鉾巡行 、 祇園祭 ） 7 
__label__社会 , 群馬 県 に 残る その 建物 群 が 世界 遺産 候補 に なっ て いる 、 明治 初期 設立 の 官営 製糸 場 は ○ ○ 製糸 場 ？ ○ の 漢字 を ひ ら が なで 答え なさい と み おか 
__label__社会 , [ 画像 問 ] 次 の うち ベルギー の 国旗 は どっち ？ （ A . 左 から 黒 黄 赤 | B . 上 から 黒 赤 黄 ） 
__label__社会 , 東海道新幹線 で 東京 駅 を 出 た 「 こだま 」 が 最初 に 停車 する の は ○ ○ 駅 ？ ○ の 漢字 を ひ ら が なで 答え なさい しな が わ 
__label__社会 , 次 の 北海道 の 都市 を 五十音 順 に 選び なさい 釧路 江別 函館 
__label__社会 , 世界 最大 の 砂漠 ・ サハラ砂漠 が ある の は ユーラシア 大陸 で ある 
__label__社会 , 1927 年 に 、 日本 で 最初 に 開通 し た 地下鉄 の 路線 は 丸ノ内線 で ある 
__label__社会 , [ 画像 問 ] 次 の 国旗 と 国名 の 正しい 組み合わせ を 選び なさい （ 赤地 に 白い 横 十 字 ） （ 青地 に 黄色い 横 十 字 ） （ 赤地 に 白い アウトライン が ある 青い 横 十 字 ） スウェーデン ノルウェー デンマーク 
__label__社会 , 日本 初 の ひ ら が な の 市 は 茨城 県 の つくば 市 で ある 
__label__社会 , アラビア 半島 の 大半 を 占め 首都 を リヤド に 置く 王国 は ？ サウジアラビア 
__label__社会 , 次 の うち 国土 地理 院 の 地図 記号 に 実在 する もの を 全て 選び なさい 花畑 茶畑 桑畑 
__label__社会 , 新 エネルギー として 注目 を 集める 4 ～ 10 % の タール 状 の 原油 を 含ん だ 砂層 は オイル ○○○？○ を 答え なさい サンド 
__label__社会 , 次 の うち 、 日本 に 実存 する 鉄道 会社 を 全て 選び なさい JR 東日本 JR 北 日本 JR 南 日本 
__label__社会 , 次 の 高松 琴平 電鉄 の 駅 と それ が ある 路線 の 正しい 組み合わせ を 選び なさい 琴電屋島 駅 農学部前 駅 栗林公園 駅 長尾線 志度線 琴平線 
__label__社会 , 次 の JR の 客車 の 記号 と それ が 意味 する 用途 の 正しい 組み合わせ を 選び なさい シ ハネ ロ B 寝台 車 食堂 車 グリーン 車 
__label__社会 , 次 の 県 と 、 その 「 県 の 鳥 」 の 正しい 組み合わせ を 選び なさい 三重 県 千葉 県 大分 県 ホオジロ メジロ シロ チドリ 
__label__社会 , 朱色 の 橋 で 本土 と 繋がっ て いる 福井 県 の 越前 海岸 で 最大 の 島 雄島 
__label__社会 , 市街地 が 都市 の 郊外 へ 無秩序 に 広がっ て いく の は ○ ○ ○ ○ ○ 現象 ？ スプロール 
__label__社会 , 次 の アジア の 国 と 漢字 一 文字 で の 表記 の 正しい 組み合わせ を 選び なさい フィリピン モンゴル インド D . タイ 印 蒙 泰 4 . 比 
__label__社会 , 株式 や 土地 など の 資産 の 価格 変動 に 伴っ て 得る 利益 の こと を 英語 で ○○○○○ ・ ゲイン という ？ ○ を 答え なさい キャピタル 
__label__社会 , [ 画像 問 ] 次 の うち ユーロ を 表す 記号 は どっち ？ （ A . C に 2 本 の 横線 | B . C に 1 本 の 横線 、 ） 
__label__社会 , 世界 遺産 ・ 知床 に ある 標高 1330 m の 山 です 遠音別岳 
__label__社会 , 丹 波立 杭 焼 豊丘 杞柳 細工 姫路 白 なめし革 細工 播州 そろ ばん 石川 県 山形 県 兵庫 県 青森 県 
__label__社会 , 山梨 県 の 富士 五 湖 で 最も 西 に ある の は 西湖 で ある 
__label__社会 , 日本銀行 と 政府 が 、 行き過ぎ た 円 高 ドル 安 を 是正 し たい と 考え た 時 に 行わ れる の は 「 円 買い ・ ドル 売り 介入 」 で ある 
__label__社会 , 次 の うち 、 「 日本 三景 」 に 数え られる もの を 全て 選び なさい 猿島 屋島 松島 
__label__社会 , 埼玉 県 の 平成国際大学 は 平成 元年 に 開校 し た 
__label__社会 , 国語 事典 の 代表 格 『 広辞苑 』 を 発行 し て いる の は 岩波書店 で ある 
__label__社会 , 「 マチ の ほっと ステーション 」 を キャッチ コピー に し て いる コンビニエンスストア は ローソン で ある 
__label__社会 , 1902 年 1 月 25 日 に 日本 の 観測 史上 最低 気温 で ある 摂氏 - 41 . 0 度 を 記録 し た 北海道 の 都市 は ○ ○ 市 ？ ○ の 漢字 を ひ ら が なで 答え なさい あさひ か わ 
__label__社会 , 地中海 に 面し て いる 1948 年 に 独立 ヘブライ 語 が 公用 語 パレスチナ 問題 レバノン サウジアラビア クウェート イスラエル 
__label__社会 , 漫画 家 やなせ たかし が 命名 し た 高知 県 に ある 後免 町 駅 の 愛称 は ？ こんにちは 駅 ありがとう 駅 さようなら 駅 いただき ます 駅 
__label__社会 , 「 アイビー リーグ 」 を 構成 する アメリカ 東部 の 8 つ の 大学 の うち 最も 早く 創設 さ れ た の は コーネル 大学 で ある 
__label__社会 , 1970 年代 に 世界 的 に 広まっ た 女性 解放 運動 と いえ ば 「 ウーマン ○ ○ 」 ？ ○ を 答え なさい リブ 
__label__社会 , 受験 参考 書 『 菅野 の 日本 史 』 シリーズ で 有名 な 、 代々木 ゼミナール 講師 は 菅野 ○ ○ ？ ○ の 名前 を ひ ら が なで 答え なさい ゆうこう 
__label__社会 , カナダ の 国旗 の 中央 に 描か れ て いる の は イチョウ の 葉 で ある 
__label__社会 , 2012 年 1 月 に 「 新駅 の 設置 が 検討 さ れ て いる 」 と 報じ られ た の は JR 山手 線 の 品川 駅 と 田町駅 の 間 で ある 
__label__社会 , 次 の 河川 を 区域 ごと に グループ 分け し なさい 北海道 近畿 十勝 川 淀川 夕張川 
__label__社会 , 京都 府 の 北部 で 生産 さ れる 有名 な 絹織物 は 丹後 ○ ○ ○ ○ ？ ちり めん 
__label__社会 , ローマ 教皇 を 中心 と し 11 億 人 以上 の 信徒 を 持つ キリスト教 の 最大 教派 は ○ ○ ○ ○ ○ 教会 ？ ( 5 文字 ) カトリック 
__label__社会 , 次 の ヨーロッパ の 国 と 首都 の 正しい 組み合わせ を 選び なさい イギリス スイス ドイツ ベルン ロンドン ベルリン 
__label__社会 , 次 の 文字 を 順に 選ん で 経済 開発 協力 機構 の 略称 に し なさい C O E D 
__label__社会 , フィリピン の 島 中心 都市 は タクロバン 大岡 昇平 の 小説 太平洋戦争 の 激戦 地 サムイ 島 レイテ 島 スマトラ 島 ボルネオ 島 
__label__社会 , 日本 の 政令 指定 都市 の 行政 区 で 最も 面積 が 大きい の は 静岡 県 ○ 区 ？ ○ の 漢字 を ひ ら が なで 答え なさい あおい 
__label__社会 , 愛知 県 に は トヨタ 町 という 地名 が ある の は 有名 です が 大阪 府 に は ダイハツ 町 という 地名 が ある 
__label__社会 , 目撃 情報 から 犯人 像 を 類推 し て 作る の は ○ ○ ○ ○ ○ ○ 写真 ？ モンタージュ 
__label__社会 , 現在 、 県知事 と 県庁 所在地 の 市長 が 共に 女性 で ある 唯一 の 県 は 山形 県 で ある 
__label__社会 , 1970 年代 に 日本 で 超 能力 ブーム を 巻き起こし た ユリ ・ ゲラー の 出身 国 は イスラエル で ある 
__label__社会 , 百貨店 の こと を 「 デパート 」 と いい ます が 、 これ は 「 デパートメント ○ ○ ○ 」 の 略 ？ ○ を 答え なさい ストア 
__label__社会 , 「 シルクロード 」 を 提唱 し た ドイツ の 地理 学者 です リヒトホーフェン 
__label__社会 , 次 の うち 、 ウメ を 「 県 の 花 」 と する 県 を 全て 選び なさい 和歌山 県 福井 県 福岡 県 
__label__社会 , 1911 年 に 民営 として は 日本 初 の スキー 場 が 完成 し 、 華族 や 皇族 が 数多く 訪れ た という 山形 県 米沢 氏 の 温泉 は ○ ○ 温泉 ？ ( 2 文字 ) 五 色 
__label__社会 , 日本 の 裁判 員 制度 で 審理 の 対象 と なる の は 地方裁判所 における 民事 事件 で ある 
__label__社会 , 北欧 の 国 ノルウェー の 首都 は オスロ です が フィンランド の 首都 は ○○○○○？○ を 答え なさい ヘルシンキ 
__label__社会 , フランス 第 ５ 共和 制 大統領 米 ソ に 次ぐ 核保有 に 成功 アルジェリア 独立 を 承認 パリ の 空港 に 名 を 残す フランソワ・オランド ジャック ・ シラク シャルル・ド・ゴール ニコラ・サルコジ 
__label__社会 , 北海道 最北端 の 岬 は 稚内 市 に ある 宗谷岬 です が 北海道 最南端 の 岬 は 松前 郡 松前 町 に ある ○ ○ 岬 ？ ○ の 漢字 を ひ ら が なで 答え なさい しら かみ 
__label__社会 , 中国 から チベット 自治 区 の ラサ まで 、 高地 を ひ た 走る 人気 の 鉄道 の 名 は ？ 青 蔵 鉄道 黄 蔵 鉄道 紺 蔵 鉄道 紫 蔵 鉄道 
__label__社会 , イスラエル の 都市 ・ エルサレム に あり 、 イスラム教 第 3 の 聖地 と さ れる 神殿 は 「 ○ の ドーム 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい い わ 
__label__社会 , スイス 、 オーストリア や ドイツ における 高速 道路 の 呼び名 と いえ ば ？ アウトバーン 
__label__社会 , [ 画像 問 ] 次 の うち 、 皇居 は どっち ？ （ A . グレー の 石垣 、 ハクチョウ | B . 白い 石垣 、 カモ ） 
__label__社会 , 東京 タワー の マスコットキャラクター です ノッポン 
__label__社会 , [ 画像 問 ] 次 の 地図 記号 と それ が 示す ものの 正しい 組み合わせ を 選び なさい （ 本 の マーク ） （ ○ と X を 組み合わせ た マーク ） （ Y の よう な さす また の マーク ） 警察 署 図書館 消防署 
__label__社会 , 「 人 と 人 、 そして EU 各国 を つなぐ 」 という 意味 で 、 ユーロ 紙幣 の 表面 に デザイン さ れ て いる もの は ？ 窓 壁 暖炉 庭 
__label__社会 , 中国 語 で 「 裏 海 」 と 呼ば れる ヨーロッパ に ある 塩 湖 は カスピ海 で ある 
__label__社会 , 1994 年 に 公明党 が 解散 ・ 分裂 し て 誕生 し た 2 つ の 政党 は 「 公明 新党 」 と 「○○」？○ の 漢字 を ひ ら が なで 答え なさい こうめい 
__label__社会 , 次 の 国 を 当てはまる もの ごと に グループ 分け し なさい バルト 三 国 スカンジナビア 三 国 インドシナ 三 国 ラオス リトアニア ノルウェー スウェーデン カンボジア 
__label__社会 , 阪神電鉄 と 阪急電鉄 で 営業 キロ 数 が 長い の は 阪神電鉄 の ほう で ある 
__label__社会 , 日本 の 最高 裁判所 における 裁判官 の 定年 は ○ ○ 歳 ？ ○ を 答え なさい 70 
__label__社会 , 土讃線 、 徳島 線 と いえ ば 「 JR ○ ○ 」 が 運営 する 路線 ？ ( 2 文字 ) 四国 
__label__社会 , 3 % の 税率 で 、 日本 に 消費 税 が 導入 さ れ た の は 西暦 1989 年 です が その 税率 が 5 % に 引き上げ られ た の は 西暦 ○ ○ ○ ○ 年 ？ ○ を 答え なさい 1997 
__label__社会 , 中央 部 に 山岳 が 連座 する ところ から き た 鹿児島 県 の 島 ・ 屋久島 の 異名 は 「 海中 アルプス 」 で ある 
__label__社会 , [ 画像 問 ] 次 の うち 、 クリスマス を 夏 に 行う 国 は ？ （ 赤 黄 赤 、 スペイン ） （ イギリス の 国旗 と 南十字星 、 オーストラリア ） （ 白 青 赤 、 ロシア ） （ 緑 白 赤 、 イタリア ） 
__label__社会 , 瀬戸内海 の 西部 に ある 海域 です 斎灘 
__label__社会 , 2011 年 8 月 に 、 第 95 代 内閣 総理 大臣 に 就任 し た 野田 佳彦 の 出身 大学 は ？ 京都大 学 早稲田大学 東京 大学 慶應義塾 大学 
__label__社会 , 金融 担当 大臣 や 厚生 労働 大臣 を 務め た 自由民主党 の 政治 家 です 柳澤 伯 夫 
__label__社会 , 次 の お 祭り を あてはまる もの ごと に グループ 分け し なさい 東北 三 大 祭り 四国 三 大 祭り 青森 ねぶた 祭 よ さ こい 祭り 秋田 竿 燈 まつり 仙台 七夕 祭り 
__label__社会 , コーヒー の 銘柄 に なっ て いる コナ 地区 が ある ハワイ の 島 は ハワイ 島 で ある 
__label__社会 , アメリカ の 歴代 大統領 の 中 に は 親子 で 就任 し た 人 も いる 
__label__社会 , アステカ 王国 時代 の 都 の 中心 部 と ほぼ 同じ 位置 に ある 、 メキシコ の 首都 ・ メキシコシティ の 中央 広場 の こと を 何 という ？ ( 3 文字 ) ソカロ 
__label__社会 , アフリカ 大陸 の 国 スーダン 共和 国 の 首都 は ハルツーム です が 2011 年 に 独立 し た 南 スーダン 共和 国 の 首都 は ？ カタカナ で 答え なさい ジュバ 
__label__社会 , 主要 国 首脳 会議 ・ G 8 に 参加 する 国 の うち 、 大統領 と 首相 の 両方 が いる もの を 1 つ 答え なさい イタリア ドイツ フランス ロシア 
__label__社会 , 1947 年 に 初代 最高 裁判所 長官 に 就任 し た 人物 です 三 淵 忠彦 
__label__社会 , ゾロ アスター 教 における 悪 の 神 の 名前 は ？ ( 4 文字 ) アーリマン 
__label__社会 , アメリカ の メサビ 地方 に 算出 する 、 鉄分 の 含有 量 が 低い 鉱床 の こと を イカ ナイト という 
__label__社会 , オーストラリア 、 ブラジル マダガスカル など を 通る 南緯 23 度 27 分の 緯線 を 何 という ？ 南回帰線 
__label__社会 , 日本 の 都道府県 の 中 で イチゴ の 生産 量 が 全国 第 1 位 な の は ？ ( 3 文字 ) 栃木 県 
__label__社会 , 次 の 日本 の 国立 公園 を 面積 が 大きい 順 に 選び なさい 瀬戸内海 伊勢 志摩 小笠原 阿蘇 くじゅう 中部 山岳 
__label__社会 , 七夕 伝説 で おなじみ の 彦星 の 仕事 は 牛 飼い で ある 
__label__社会 , 東名高速道路 が 通っ て いる 都道府県 を 1 つ 答え なさい とう きょう と かな が わけん し ず おかけ ん あ いち けん 
__label__社会 , 「 黄金 の 都 」 「 北 の ローマ 」 など の 別名 を 持つ チェコ 共和 国 の 首都 は ○○○？○ を 答え なさい プラハ 
__label__社会 , 航海 図 など に 使わ れる メルカトル 図法 は 円筒 図法 の 一 種 で ある 
__label__社会 , 東京 都 港 区 の 新橋 は かつて 新橋 という 橋 が あっ た こと に その 名 を 由来 し て いる 
__label__社会 , 漢字 で 「 亜米利加 」 と 書く 国 は アメリカ です が 「 墨 西 哥 」 と 書く 国 は どこ ？ メキシコ 
__label__社会 , 東京 の 荒川 区 に は 荒川 は 流れ て い ない 
__label__社会 , 北欧 に ある 国 フィンランド の 首都 は ストックホルム で ある 
__label__社会 , サンタクロース の 故郷 と さ れ ます フィンランド 
__label__社会 , 湯河原 高山 知覧 津和野 門前 町 小 京都 城下 町 寺内 町 
__label__社会 , 身柄 を 拘束 さ れ た 容疑 者 や 被告 人 が 、 弁護 人 など 外部 の 人間 と 面会 や 物品 の やりとり を できる 権利 を ○ ○ ○ ○ 権 という ？ 接見 交通 
__label__社会 , サント・シャペル 、 パリ 警視庁 、 ノートルダム 大 聖堂 など の 名所 が ある 、 フランス の パリ に ある セーヌ 川 に 浮かぶ 島 は ○ ○ 島 ？ ( 2 文字 ) シテ 
__label__社会 , 国 、 地方 公共 団体 など が 競争 入札 で は なく 任意 で 決定 し た 相手 と 契約 する こと を ○ ○ 契約 という ？ ○ の 漢字 を ひ ら が なで 答え なさい ず いい 
__label__社会 , 兵庫 県 の 淡路島 に ある 都市 を 1 つ 答え なさい あわ じし みな みあわ じ し すも と し 
__label__社会 , レーガン 政権 下 の 1980 年代 に アメリカ で 「 双子 の 赤字 」 と 呼ば れ て い た 赤字 を 1 つ 答え なさい ぼう え き あ かじ ざいせいあかじ ぼう え き ざいせい 
__label__社会 , 東京 タワー は 東京 五輪 と 同じ 年 で ある 1964 年 に 完成 し た 
__label__社会 , バイキング 1 号 が 撮影 し た 有名 な 「 人面 岩 」 が ある の は 金星 で ある 
__label__社会 , 2011 年 に フランス の 海外 県 と なっ た コモロ 諸島 の 島 マヨット 
__label__社会 , アメリカ ・ ニューヨーク の 「 自由 の 女神 像 」 が トーチ を 掲げ て いる の は 左手 で ある 
__label__社会 , 文化財 保護 法 に 基づき 定め られ た 「 重要 無形 文化財 保持 者 」 の 一般 的 な 呼び名 は 「 人間 ○ ○ 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい こく ほう 
__label__社会 , オリジナル の 萌え キャラ が 人気 の 八王子 に ある 日蓮宗 の 寺院 です 了法 寺 
__label__社会 , 日本 で 最も 長い 駅 の プラットホーム は 京都 駅 に ある 
__label__社会 , 南 アジア の 国 バングラデシュ の 通貨 単位 は タカ で ある 
__label__社会 , 次 の うち 、 高度 経済 成長 期 の 「 都市 銀行 15 行 体制 」 において その 1 つ に 数え られ て い た 銀行 を 全て 選び なさい 日本興業銀行 大和 銀行 千葉銀行 
__label__社会 , 日本 で もっとも 早く 初日の出 を 見る こと が できる 場所 は 最 東端 の 南鳥島 で ある 
__label__社会 , 愛知 県 静岡 県 福岡 県 栃木 県 ブドウ イチゴ スイカ メロン 
__label__社会 , タオル の 生産 量 が 日本一 の 県 は 愛知 県 で ある 
__label__社会 , 日本 の 裁判 員 制度 で 、 遠く から 裁判 員 として 参加 し た 人 に は 交通 費 ・ 日当 だけ で なく 宿泊 費 も 支払わ れる こと が ある 
__label__社会 , 次 の 文字 列 を 組み合わせ て 「 世界 の 七不思議 」 に 含ま れる 古代 の 建造 物 の 名前 に し なさい ギザ の バビロン の ハリカルナッソス の マウソロス 霊廟 ピラミッド 空中 庭園 
__label__社会 , 日本 で 、 「 10 駅 」 と 新幹線 の 駅 が 最も 多く 存在 する 県 は ○ ○ 県 ？ ○ の 漢字 を ひ ら が なで 答え なさい や ま が たけん 
__label__社会 , 次 の 都道府県 と 、 その 県 の 木 に 制定 さ れ て いる 樹木 の 正しい 組み合わせ を 選び なさい 埼玉 県 宮崎 県 長野 県 フェニックス ケヤキ シラカバ 
__label__社会 , フランス の ニース に ある 地中海 に 面し た 超 高級 ホテル ネグレスコ 
__label__社会 , 政党 や 党内 の 派閥 が 、 所属 する 議員 に対し 年末 に 配る 活動 資金 を 「 ○ 代 」 という ？ ○ の 漢字 を ひ ら が なで 答え なさい もち 
__label__社会 , 次 の ヨーロッパ の 世界 遺産 と それ が ある 都市 の 正しい 組み合わせ を 選び なさい コロッセオ 赤 の 広場 チュイルリー 庭園 D . キュー ガーデン E . アクロポリス ローマ モスクワ ロンドン 4 . アテネ 5 . パリ 
__label__社会 , 茨城 県 に ある 筑波大学 は 県立 大学 で ある 
__label__社会 , 1993 年 に 日本 で 初めて 登場 し た 救急 車 の 車種 は ロールスロイス で ある 
__label__社会 , 次 の 観光 名所 を それ が ある 都道府県 ごと に グループ 分け し なさい 福岡 県 大分 県 鹿児島 県 耶馬溪 私 学校 跡 平尾台 
__label__社会 , ええ じゃ ない か トンデミーナ ドドンパ FUJIYAMA ナガシマスパーランド パルケエスパーニャ ニューレオマワールド 富士急 ハイランド 
__label__社会 , 東海道新幹線 の 駅 で 豊橋 駅 と 名古屋 駅 の 間 に 位置 する の は ○ ○ ○ ○ 駅 ？ 三河安城 
__label__社会 , [ 画像 問 ] 次 の うち 国際 連合 の 常任 理事 国 に なっ て いる 国 は どっち ？ （ A . 上 から 赤 白 青 、 オランダ | B . 左 から 青白 赤 、 フランス ） 
__label__社会 , 選挙 の 際 、 優位 と さ れ た 政党 や 候補 者 により 多く の 支持 が 集まる 現象 は バンド ワゴン 効果 です が 劣勢 が 伝え られ た 候補 者 や 政党 に 同情 票 が 集中 する 現象 は アンダー ○ ○ ○ 効果 ？ ○ を 答え なさい ドッグ 
__label__社会 , 綿密 な 都市 計画 により 1927 年 に 建設 さ れ た オーストラリア の 首都 は ？ ( 5 文字 ) キャンベラ 
__label__社会 , 山口 県 に ある 有名 な カルスト 地形 は ○ ○ 台 ？ ○ の 漢字 を ひ ら が なで 答え なさい あ きよし 
__label__社会 , 現在 発行 さ れ て いる 一 万 円 札 に 肖像 が 描か れ て いる 人物 は ？ ( 4 文字 ) 福沢 諭吉 
__label__社会 , 京都 ・ 時代 祭 の メイン イベント で ある 時代 行列 で 、 出発 地点 と なる 市内 の 施設 は 京都 ○ ○ ？ ○ の 漢字 を ひ ら が なで 答え なさい ご しょ 
__label__社会 , 次 の 都市 を 、 その 区分 ごと に グループ 分け し なさい 政令 指定 都市 中核 市 【 4 】 北九州 市 福岡 市 宮崎 市 鹿児島 市 
__label__社会 , 日本 に も 砂漠 が 存在 する 
__label__社会 , 両親 と 全く 同じ 漢字 を 使っ た 名前 を 子供 に 付ける こと は 日本 で は 原則 禁止 さ れ て いる 
__label__社会 , [ 画像 問 ] 次 の 航空 自衛隊 の 航空機 と その 種類 の 正しい 組み合わせ を 選び なさい （ 迷彩 色 の 機体 ） （ 白い 機体 ） （ コックピット が 一番 尖っ て いる ） 輸送 機 救難 機 戦闘 機 
__label__社会 , [ 画像 問 ] 次 の うち 、 東京大学 の シンボル で ある 「 赤門 」 は どっち ？ （ A . 切妻 造 、 低い 柵 が 置か れ て いる | B . 守 禮之 邦 、 4 本 の 柱 ） 
__label__社会 , JR 四国 の 特急 列車 で 岡山 駅 ・ 高松 駅 ～ 徳島 駅 間 を 瀬戸大橋線 ・ 髙徳 線 経由 で 運行 する の は ？ うず し お 
__label__社会 , 「 アメリカ の 石油 王 」 と 呼ば れ た 人物 と いえ ば ？ フォード モルガン ハー スト ロックフェラー 
__label__社会 , 日本 三 大 鍾乳洞 の 一つ 龍 河 洞 が ある 高知 県 の 都市 は 香南 市 で ある 
__label__社会 , 日 米 の 外務 ・ 防衛 担当 4 閣僚 によって 行わ れる 日 米 安保 協議 委員 会 の 通称 は 「 ○ プラス ○ 」 ？ ○ に 共通 する 数字 を 答え なさい 2 
__label__社会 , 東京湾 アクアライン の 中継 地点 に ある パーキング エリア 海 ほた る の 所在地 は 東京 都 で ある 
__label__社会 , 1980 年 に 亡くなっ た 本名 を ヨシップ・ブロズ という ユーゴスラビア の 大統領 は ？ ( 3 文字 ) チトー 
__label__社会 , 学習 塾 を 管轄 する 省庁 は 文部 科学 省 で ある 
__label__社会 , 南 あわ じ 市 が ある 日本 の 都道府県 は 兵庫 県 です が 南 アルプス 市 が ある の は ？ 山形 県 山梨 県 鹿児島 県 兵庫 県 
__label__社会 , 楕円 形 の 国旗 を 持つ 国 が ある 
__label__社会 , パラオ共和国 の 現在 の 首都 は ○○○○○？○ を 答え なさい マルキョク 
__label__社会 , 2012 年 11 月 に 、 次期 衆院 選 で 民主党 の 公認 を 得 られ ない こと を 理由 に 、 政界 から の 引退 を 表明 し た 元 首相 は 菅 直人 で ある 
__label__社会 , 衣笠 、 びわこ ・ くさ つ キャンパス 映像 学部 、 薬学部 、 生命 科学 部 西園寺 公望 が 設立 し た 私塾 が 前身 吉田 敦 也 、 サバンナ 、 倉木 麻衣 立命館大学 花園大学 同志社大学 京都 大学 
__label__社会 , 同じ 政党 の 候補 者 が 衆院 選 の 小 選挙 区 と 比例 代表 区 に 交代 し て 出る 方式 を 何方 式 という ？ コスタリカ 方式 コロンビア 方式 ジャマイカ 方式 ニカラグア 方式 
__label__社会 , 2012 年 4 月 に 国民 新党 の 代表 を 解任 さ れ た 政治 家 は 亀井 静香 です が 同時に 政調 会長 を 解任 さ れ た 政治 家 は 亀井 ○○○？○ の 名前 を ひ ら が なで 答え なさい あきこ 
__label__社会 , フランス語 で 「 憂い が ない 」 という 意味 が ある 、 ドイツ の ポツダム に ある 、 世界 遺産 に も 指定 さ れ て いる 宮殿 は ？ サンスーシ 宮殿 
__label__社会 , 太平洋 と 大西洋 を 結ん で いる の は ○ ○ ○ 運河 ？ ○ を 答え なさい パナマ 
__label__社会 , 世界 の 内陸 国 の うち 最も 面積 が 大きい の は トルクメニスタン で ある 
__label__社会 , 北米 五 大 湖 の 一つ で ある ○ ○ ○ ○ ○ 湖 ？ ヒューロン 
__label__社会 , かつて の 名前 を 「 イギリス 領 南 ローデシア 」 といった アフリカ の 国 は ○○○○○？○ を 答え なさい ジンバブエ 
__label__社会 , かつて は 相模 の 国府 が あっ た 小田原 市 の 町 国府津 
__label__社会 , 世界 で もっとも 長い 山脈 は アンデス山脈 で ある 
__label__社会 , 1981 年 は 世界 遺産 に も 登録 さ れ た 、 オーストラリア 大陸 北東 部 の 巨大 サンゴ礁 は ○ ○ ○ ○ バリアリーフ ？ ○ を 答え なさい グレート 
__label__社会 , 法務省 の 管理 下 に ある 未決囚 を 収容 する 施設 は 刑務所 で ある 
__label__社会 , イギリス の チャールズ 皇太子 が 王位 を 継い だ 場合 に 名乗る の は チャールズ 3 世 です が その 長男 ウィリアム 王子 が 王位 を 継い だ 場合 に 名乗る の は ウィリアム ○ 世 ？ ○ を 答え なさい 5 
__label__社会 , 次 の うち 「 日本 三 大 急流 」 に 数え られる 川 を 全て 選び なさい 富士川 熊野川 球磨川 最上川 
__label__社会 , 次 の 「 三 大 トンネル 」 に 数え られる 日本 の 自動車 トンネル を 東 に ある もの から 順に 選び なさい 関越 トンネル 新神戸 トンネル 恵那山 トンネル 
__label__社会 , インド の ベンガル 湾 に ある 島々 は ○ ○ ○ ○ ○ 諸島 ？ アンダ マン 
__label__社会 , 潜 像 パール 模様 すき 入れ バー パターン 1 本 富士山 と 桜 野口 英世 10000 円 札 5000 円 札 2000 円 札 1000 円 札 
